Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,returns_1d,returns_3d,returns_5d,returns_7d,returns_10d,returns_14d,ATR,rolling_vol_30,ADX,MACD,MACD_signal,MACD_hist,RSI,volume_change,volume_sma_30,volume_ratio,Support_30,Resistance_30,Dist_to_Support_30,Dist_to_Resistance_30,SPY_returns_1d,SPY_returns_3d,SPY_returns_7d,SPY_volatility,Target
2026-01-27 00:00:00-05:00,258.92771692213245,261.70511669708895,257.96859246831417,258.0285339355469,49648300.0,0.0,0.0,0.011197578028024013,0.03994348073764087,0.04689896380258385,0.0002323403857631412,-0.0076081878895292165,-0.015589287429524479,5.227719612735683,0.010848366782119154,30.253636605131863,-5.067210713097069,-4.959168006189105,-0.10804270690796347,45.60564356162603,-0.11293532871650835,46393983.333333336,1.0701452307572927,247.62129608827468,276.0696862776134,0.04202884813090598,0.06534999400087883,0.003984250492172103,0.009448764768456464,0.004694903567908026,0.006731275401066036,1
2026-01-28 00:00:00-05:00,257.409147241713,258.61800761819165,254.27208306792676,256.2002868652344,41288000.0,0.0,0.0,-0.007085445328186779,0.03386558161636022,0.03549370705240107,0.0035612849363260146,-0.017659305911745138,-0.01494241490601722,5.164734251130627,0.010862638061685156,29.49363440235068,-4.623556123014737,-4.892045629554231,0.26848950653949455,42.98643435742652,-0.16839045848498335,46452486.666666664,0.8888221699792749,247.62129608827468,275.30839324626294,0.03464560969708102,0.06940618902212832,-0.0001006589961060067,0.008981040605918533,0.005436211305579253,0.006393874704298868,1
2026-01-29 00:00:00-05:00,257.75880668092503,259.4072580677027,254.17216647920577,258.0385437011719,67253000.0,0.0,0.0,0.007175077196164281,0.011236805669255334,0.0399838235258847,0.046939576416626494,-0.006462558895545034,-0.0029339805440570244,5.1697597752282185,0.010748726989552617,28.607297283436342,-4.076631826231392,-4.728962868889663,0.6523310426582718,46.32441904554945,0.6288752179810115,47013950.0,1.4304903119180583,247.62129608827468,275.1794924580536,0.04206927181733007,0.062290066035696846,-0.001984419367757506,0.001891065199325359,0.02429227622177277,0.0064003067359981935,1
2026-01-30 00:00:00-05:00,254.93144331105526,261.6551472598355,251.94423313215475,259.2374267578125,92443400.0,0.0,0.0,0.0046461394466286166,0.00468511293625995,0.046121596002254295,0.047769022137652106,0.004918541862970027,0.0004240915566680048,5.4941279432605405,0.010794916428907304,27.27500071217158,-3.506035146726333,-4.4843773244569975,0.9783421777306645,48.44442503677326,0.37456172958827105,48840443.333333336,1.8927633266774195,247.62129608827468,275.11856156325103,0.04691087096724016,0.05772469409261355,-0.002982547677011782,-0.0050612080413461324,0.009585564714093886,0.006405181443021325,1
2026-02-02 00:00:00-05:00,259.7869174093499,270.2371306501278,258.9676766447768,269.7575988769531,73913400.0,0.0,0.0,0.04058122413384724,0.05291684946024322,0.057163045026515036,0.08721563484758388,0.05666658637542987,0.03750243547459475,5.9066512334098595,0.013162659941438988,26.188321813183492,-2.179815640211416,-4.023464987607881,1.8436493473964655,62.45704852341282,-0.20044697620381768,49632933.333333336,1.4892007188775194,247.62129608827468,274.4202339703648,0.08939579567012308,0.01699085751058427,0.004971317523953855,-1.4393842384441413e-05,0.009332626285319057,0.006047941401796283,1
2026-02-03 00:00:00-05:00,268.9483513556569,271.6258386480508,267.3598109321867,269.22808837890625,64394700.0,0.0,0.0,-0.0019629122599374993,0.04336384990101605,0.04340432537649863,0.08643771474671769,0.09233890706379033,0.03229278328367524,5.789463839299447,0.013163866486396471,25.39104962975905,-1.1581537230970866,-3.4504027347057225,2.292249011608636,61.55025154711061,-0.12878179058195127,50058400.0,1.2863914947341506,247.62129608827468,274.4202339703648,0.08725740730687782,0.0189204182080074,-0.008455363130712823,-0.00649811087725416,0.0004353391997267142,0.006180945235158402,0
2026-02-04 00:00:00-05:00,272.03545112075,278.68922850453845,272.03545112075,276.23150634765625,90545700.0,0.0,0.0,0.026012954335186356,0.06555411308614834,0.0781857808494908,0.08253388078217516,0.1164545911030268,0.06358662559694572,6.051726431180358,0.013981052632041609,25.596933857473775,0.21416919776851273,-2.7174883482108756,2.9316575459793883,68.13906582417624,0.40610485024388643,48255523.333333336,1.8763800233714178,247.62129608827468,275.11856156325103,0.11554018459374472,-0.004045327869124323,-0.0048439179057576665,-0.008352917765847012,-0.00944087626021084,0.006056563050018725,0
2026-02-05 00:00:00-05:00,277.86999494352693,279.2387093202658,272.97458180817284,275.6520690917969,52977400.0,0.0,0.0,-0.0020976508564164442,0.02185098858895329,0.06825928071824339,0.06830072196841686,0.11097237127837012,0.06854893137027007,6.066897936959829,0.013855045621752918,25.854161964255475,1.2406873837597345,-1.9258532018167538,3.166540585576488,67.1143342863901,-0.4149098190195669,48802376.666666664,1.0855495903785561,247.62129608827468,275.4132724770862,0.11320017077016466,-0.0008670483181980521,-0.0124892628772314,-0.02558200013569023,-0.02569410828064611,0.006379280153403973,0
2026-02-06 00:00:00-05:00,276.8609202349588,280.6473855638201,276.67109542368036,277.8599853515625,50453400.0,0.0,0.0,0.008009793893585249,0.03206165086500157,0.07183591824165014,0.08454205399747061,0.12127070144349705,0.08840441727718384,5.99035640375007,0.013896751657641475,26.266833167049874,2.2069307082211935,-1.0992964198091646,3.306227128030358,69.02583473510593,-0.04764295718551681,49496090.0,1.0193411237130043,247.62129608827468,277.6911517294981,0.12211667470033763,-0.0006079906436085822,0.019184793975496328,0.0015807372761182936,-0.006902286259997892,0.0072633738469860525,0
2026-02-09 00:00:00-05:00,277.9100036621094,278.20001220703125,271.70001220703125,274.6199951171875,44623400.0,0.26,0.0,-0.01166051394653178,-0.005833915369670262,0.018025057534903022,0.06425959152528082,0.07621846973689128,0.11421548594880937,6.026759517767922,0.014050815268709868,25.563813672943226,2.6803479869434454,-0.34336753845864265,3.023715525402088,63.21873414612306,-0.11555217289617747,50386516.666666664,0.8856218479083856,247.62129608827468,278.248933836782,0.10903221756535851,0.013042057949890244,0.004821779145387506,0.011308835363405878,-0.00012962627969670404,0.007288059366489736,0
2026-02-10 00:00:00-05:00,274.8900146484375,275.3699951171875,272.94000244140625,273.67999267578125,34376900.0,0.0,0.0,-0.003422920610733904,-0.007154223157160078,0.016535809185739492,0.05571173151422082,0.06065786020449959,0.10614204858790277,5.76984760048316,0.014063344509385076,24.91100985698705,2.9457277343551027,0.3144515161041065,2.631276218250996,61.59955384381032,-0.22962167831227565,50815020.0,0.6765106065096501,247.62129608827468,278.248933836782,0.10523608832988618,0.016420336631661026,-0.0026371021797716443,0.021398424049591913,0.00021680769457388394,0.0073063281025736344,0
